CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,CAT_OCUP,EMPLEO,PP02B,PP02E,PP02H,PP02I,PP03C,PP03G,PP03I,PP04A,PP04G,PP05B3,PP05H,PP05I,PP05J,PP05K,PP07A,PP07I3,PP07J,PP07K,PP08D1,P21,ITF,DECINDR,IPCF,ANIO,CH03,CH12,CH13,CH14,PP3E_TOT,PP3F_TOT,horastrab,trabaja,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,educ,edad_rango,ingreso_total_familiar,ingreso_total_familiar_millones,CH03_str,IX_TOT
TQRMNOSSSHMMLOCDEHLEH00880781,1,2,2,29,2,4,5,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,626000,1,156500.0,2025,2.0,6.0,2.0,2.0,,,0.0,0,0.76,3.16,1153959.32,1,841,14.0,18-30,626000.0,0.626,2,4.0
TQRMNOSSSHMMLOCDEHLEH00880781,1,3,2,19,5,4,5,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,626000,1,156500.0,2025,9.0,7.0,2.0,1.0,,,0.0,0,0.76,3.16,1153959.32,1,361,13.0,18-30,626000.0,0.626,9,4.0
TQRMNORRTHJOLNCDEHLEH00876255,1,1,1,49,1,4,3,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,320000.0,320000,670000,3,134000.0,2025,1.0,4.0,2.0,3.0,25.0,0.0,25.0,1,1.0,4.59,1676162.43,1,2401,9.0,31-50,670000.0,0.67,1,5.0
TQRMNORRTHJOLNCDEHLEH00876255,1,2,2,48,1,4,2,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,670000,1,134000.0,2025,2.0,2.0,1.0,,,,0.0,0,0.76,4.59,1676162.43,1,2304,6.0,31-50,670000.0,0.67,2,5.0
TQRMNORRTHJOLNCDEHLEH00876255,1,3,1,23,5,4,4,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,670000,0,134000.0,2025,3.0,4.0,1.0,9.0,,,0.0,0,1.02,4.59,1676162.43,1,529,12.0,18-30,670000.0,0.67,3,5.0
TQRMNORRTHJOLNCDEHLEH00876255,1,4,1,19,5,4,4,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,200000.0,200000,670000,1,134000.0,2025,3.0,4.0,1.0,9.0,20.0,0.0,20.0,1,1.02,4.59,1676162.43,1,361,12.0,18-30,670000.0,0.67,3,5.0
TQRMNORRTHJOLNCDEHLEH00876255,1,5,1,10,5,4,1,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,670000,0,134000.0,2025,3.0,2.0,2.0,5.0,,,0.0,0,0.79,4.59,1676162.43,1,100,5.0,6-12,670000.0,0.67,3,5.0
TQRMNORVYHLOLPCDEHLEH00854004,1,1,1,65,2,1,2,3.0,1.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,800000,5,400000.0,2025,1.0,2.0,1.0,,,,0.0,0,0.83,1.5,547765.5,0,4225,6.0,50+,800000.0,0.8,1,2.0
TQRMNORVYHLOLPCDEHLEH00854004,1,2,2,63,2,1,3,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,800000,1,400000.0,2025,2.0,4.0,2.0,2.0,,,0.0,0,0.67,1.5,547765.5,0,3969,8.0,50+,800000.0,0.8,2,2.0
TQRMNOPQPHJOLQCDEHLEH00876313,1,1,1,61,2,12,3,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1400000.0,1400000,2411000,10,803666.67,2025,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0,0.83,2.26,825300.0199999999,0,3721,8.0,50+,2411000.0,2.411,1,3.0
